CloseTimeMs,Date,Open,High,Low,Close,Volume,TouchUpperQ,TouchLowerQ
1759760999999,2025-10-06 11:25:00,4642.43,4665.99,4632.98,4660.37,48583.583,1,0
1759761299999,2025-10-06 11:30:00,4660.37,4676.63,4658.22,4671.44,44206.526,0,0
1759761599999,2025-10-06 11:35:00,4670.19,4674.73,4663.62,4664.44,26824.12,0,0
1759761899999,2025-10-06 11:40:00,4664.43,4664.44,4647.02,4651.64,32005.862,0,0
1759762199999,2025-10-06 11:45:00,4651.65,4657.0,4650.73,4654.1,12377.807,0,0
1759762499999,2025-10-06 11:50:00,4654.09,4654.09,4642.0,4643.27,18549.963,0,1
1759762799999,2025-10-06 11:55:00,4643.28,4643.28,4633.35,4636.0,31395.328,0,0
1759763099999,2025-10-06 12:00:00,4637.14,4651.19,4636.38,4650.31,18904.831,0,1
1759763399999,2025-10-06 12:05:00,4650.17,4655.92,4646.02,4647.31,16652.384,0,0
1759763699999,2025-10-06 12:10:00,4648.15,4655.16,4647.62,4654.0,8783.674,0,0
1759763999999,2025-10-06 12:15:00,4654.01,4679.0,4654.0,4673.17,38663.584,0,0
1759764299999,2025-10-06 12:20:00,4673.04,4692.91,4673.04,4686.0,62411.342,0,0
1759764599999,2025-10-06 12:25:00,4686.0,4692.42,4684.64,4689.4,24120.522,0,0
1759764899999,2025-10-06 12:30:00,4689.85,4692.5,4673.66,4676.53,33197.213,0,0
1759765199999,2025-10-06 12:35:00,4676.08,4676.55,4670.0,4674.05,21637.73,0,0
1759765499999,2025-10-06 12:40:00,4673.66,4675.0,4659.3,4668.37,31670.594,0,0
1759765799999,2025-10-06 12:45:00,4668.56,4680.0,4668.0,4679.36,14871.979,0,0
1759766099999,2025-10-06 12:50:00,4679.58,4683.83,4677.65,4678.1,12298.04,0,0
1759766399999,2025-10-06 12:55:00,4678.11,4681.54,4670.37,4671.59,10274.406,0,0
1759766699999,2025-10-06 13:00:00,4671.24,4681.77,4670.59,4674.81,13738.675,0,0
1759766999999,2025-10-06 13:05:00,4675.35,4678.22,4663.02,4666.81,15775.383,0,0
1759767299999,2025-10-06 13:10:00,4667.74,4667.75,4658.57,4661.9,17856.804,0,0
1759767599999,2025-10-06 13:15:00,4661.92,4672.0,4661.15,4669.27,8550.323,0,0
1759767899999,2025-10-06 13:20:00,4668.7,4670.35,4661.04,4662.82,8627.984,0,0
1759768199999,2025-10-06 13:25:00,4662.44,4668.2,4657.56,4659.95,10174.609,0,0
1759768499999,2025-10-06 13:30:00,4659.89,4671.34,4659.19,4667.38,7003.186,0,0
1759768799999,2025-10-06 13:35:00,4667.39,4679.0,4666.19,4677.0,9955.393,0,0
1759769099999,2025-10-06 13:40:00,4677.66,4682.88,4671.0,4679.55,10535.393,0,0
1759769399999,2025-10-06 13:45:00,4680.32,4680.74,4672.91,4673.37,9007.212,0,0
1759769699999,2025-10-06 13:50:00,4673.37,4677.15,4668.36,4675.9,5055.685,0,0
1759769999999,2025-10-06 13:55:00,4675.9,4679.05,4673.99,4677.75,7724.137,0,0
1759770299999,2025-10-06 14:00:00,4676.59,4679.46,4672.27,4679.01,8076.967,0,0
1759770599999,2025-10-06 14:05:00,4679.01,4686.67,4672.6,4685.53,15020.88,0,0
1759770899999,2025-10-06 14:10:00,4685.57,4695.0,4681.88,4693.17,35044.744,1,0
1759771199999,2025-10-06 14:15:00,4692.46,4711.86,4687.0,4703.41,64420.727,1,0
1759771499999,2025-10-06 14:20:00,4703.42,4718.0,4703.41,4712.71,49154.703,0,0
1759771799999,2025-10-06 14:25:00,4712.69,4715.0,4700.99,4707.85,27199.122,0,0
1759772099999,2025-10-06 14:30:00,4707.85,4712.12,4695.94,4697.4,23596.136,0,0
1759772399999,2025-10-06 14:35:00,4697.39,4698.0,4687.0,4695.7,22154.256,1,0
1759772699999,2025-10-06 14:40:00,4695.09,4698.0,4691.69,4692.63,8367.203,1,0
1759772999999,2025-10-06 14:45:00,4692.64,4696.35,4689.48,4693.02,7953.283,1,0
1759773299999,2025-10-06 14:50:00,4692.58,4705.03,4685.0,4702.85,30976.658,1,0
1759773599999,2025-10-06 14:55:00,4703.96,4704.39,4692.51,4694.3,7794.282,1,0
1759773899999,2025-10-06 15:00:00,4694.3,4694.82,4688.8,4691.39,10182.514,0,0
1759774199999,2025-10-06 15:05:00,4691.9,4700.0,4689.01,4694.78,7119.648,1,0
1759774499999,2025-10-06 15:10:00,4694.78,4695.91,4689.21,4694.73,5125.308,1,0
1759774799999,2025-10-06 15:15:00,4694.72,4699.68,4694.72,4697.78,5592.65,1,0
1759775099999,2025-10-06 15:20:00,4697.78,4700.0,4690.39,4693.98,4995.826,1,0
1759775399999,2025-10-06 15:25:00,4693.61,4693.61,4686.52,4688.0,7061.978,0,0
1759775699999,2025-10-06 15:30:00,4687.28,4690.99,4680.0,4686.87,13944.197,0,0
1759775999999,2025-10-06 15:35:00,4687.16,4690.5,4683.0,4683.53,5674.215,0,0
1759776299999,2025-10-06 15:40:00,4683.52,4685.0,4677.67,4683.37,10890.671,0,0
1759776599999,2025-10-06 15:45:00,4683.36,4692.66,4682.0,4692.47,5860.818,0,0
1759776899999,2025-10-06 15:50:00,4692.47,4708.57,4692.16,4708.56,30358.796,1,0
1759777199999,2025-10-06 15:55:00,4708.57,4715.78,4706.08,4711.81,29040.056,0,0
1759777499999,2025-10-06 16:00:00,4710.0,4714.55,4698.82,4701.09,24586.516,0,0
1759777799999,2025-10-06 16:05:00,4702.42,4708.3,4696.95,4701.31,10686.608,0,0
1759778099999,2025-10-06 16:10:00,4701.41,4708.0,4701.09,4707.56,6012.089,0,0
1759778399999,2025-10-06 16:15:00,4707.68,4708.59,4693.83,4704.89,13564.056,0,0
1759778699999,2025-10-06 16:20:00,4701.69,4701.7,4693.64,4701.28,6964.729,0,0
1759778999999,2025-10-06 16:25:00,4701.28,4715.56,4701.28,4706.38,14915.229,0,0
1759779299999,2025-10-06 16:30:00,4706.31,4713.01,4703.73,4710.66,10822.876,0,0
1759779599999,2025-10-06 16:35:00,4709.75,4711.0,4696.54,4698.88,14212.909,0,0
1759779899999,2025-10-06 16:40:00,4698.78,4700.0,4692.92,4699.99,13662.158,0,0
1759780199999,2025-10-06 16:45:00,4700.5,4703.57,4693.18,4698.72,10240.779,0,0
1759780499999,2025-10-06 16:50:00,4697.58,4702.66,4695.24,4700.13,7921.868,0,0
1759780799999,2025-10-06 16:55:00,4700.13,4732.38,4697.92,4720.7,55756.229,0,0
1759781099999,2025-10-06 17:00:00,4720.85,4724.59,4713.67,4718.2,16789.322,0,0
1759781399999,2025-10-06 17:05:00,4719.12,4734.99,4719.12,4732.62,19310.844,0,0
1759781699999,2025-10-06 17:10:00,4731.92,4731.92,4708.53,4715.69,29357.722,0,0
1759781999999,2025-10-06 17:15:00,4715.69,4716.55,4701.0,4702.94,17893.811,0,0
1759782299999,2025-10-06 17:20:00,4701.66,4702.57,4694.38,4699.85,12425.37,0,0
1759782599999,2025-10-06 17:25:00,4699.85,4700.71,4694.0,4699.15,9685.906,0,0
1759782899999,2025-10-06 17:30:00,4699.16,4708.0,4695.48,4707.86,8374.414,0,0
1759783199999,2025-10-06 17:35:00,4707.87,4708.0,4698.88,4699.39,4927.591,0,0
1759783499999,2025-10-06 17:40:00,4699.17,4699.66,4686.0,4687.45,17510.463,0,0
1759783799999,2025-10-06 17:45:00,4687.44,4691.77,4685.0,4688.6,9670.503,0,0
1759784099999,2025-10-06 17:50:00,4688.6,4688.96,4686.27,4686.31,4297.511,0,0
1759784399999,2025-10-06 17:55:00,4685.86,4690.7,4684.0,4687.4,7217.723,0,0
